index,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,sex,status_matrimonial,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
482,100,24,delayed previously,accessory,2333,none,0,4,male,single,none,2,life insurance,29,bank,own,1,unskilled,1,none,yes,good
247,0,36,critical,education,8065,little,4,3,female,other,none,2,no known property,25,none,own,2,high qualif,1,yes,yes,bad
466,100,12,critical,car,1804,moderate,0,3,male,single,none,4,life insurance,44,none,own,1,skilled,1,none,yes,good
922,0,10,existing paid,accessory,2210,little,4,2,male,single,none,2,real estate,25,bank,rent,1,unskilled,1,none,yes,bad
844,0,9,critical,devices,1138,little,4,4,male,single,none,4,real estate,25,none,own,2,unskilled,1,none,yes,good
659,0,36,existing paid,car,3079,none,4,4,male,single,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
493,0,36,existing paid,education,1819,little,4,4,male,single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,bad
191,0,36,existing paid,accessory,3349,little,4,4,female,other,none,2,car,28,none,own,1,high qualif,1,yes,yes,bad
943,0,36,delayed previously,car,8947,none,7,3,male,single,none,2,car,31,stores,own,1,high qualif,2,yes,yes,good
705,100,12,existing paid,retraining,754,none,8,4,male,single,none,4,life insurance,38,none,own,2,skilled,1,none,yes,good
937,0,28,all paid,car,7824,none,0,3,male,single,guarantor,4,real estate,40,bank,rent,2,skilled,2,yes,yes,good
632,0,12,critical,education,701,little,4,4,male,single,none,2,car,32,none,own,2,skilled,1,none,yes,good
555,0,21,all paid,car,1647,none,4,4,male,single,none,2,life insurance,40,none,own,2,unskilled,2,none,yes,bad
232,0,4,critical,car,3380,little,7,1,female,other,none,1,real estate,37,none,own,1,skilled,2,none,yes,good
473,100,45,critical,devices,4746,little,0,4,male,single,none,2,life insurance,25,none,own,2,unskilled,1,none,yes,bad
835,100,12,existing paid,devices,1103,little,7,4,male,single,guarantor,3,real estate,29,none,own,2,skilled,1,none,no,good
911,0,18,existing paid,car,6761,none,4,2,male,single,none,4,car,68,none,rent,2,skilled,1,none,yes,bad
121,0,12,existing paid,accessory,2578,little,unemployed,3,female,other,none,4,no known property,55,none,for free,1,high qualif,1,none,yes,good
476,300,10,existing paid,domestic appliance,1225,little,4,2,male,single,none,2,car,37,none,own,1,skilled,1,yes,yes,good
210,0,48,all paid,business,3609,little,4,1,female,other,none,1,real estate,27,stores,own,1,skilled,1,none,yes,good
947,0,24,existing paid,devices,1278,little,8,4,male,single,none,1,real estate,36,none,own,1,high qualif,1,yes,yes,good
402,0,6,existing paid,others,660,rich,7,2,male,widow,none,4,real estate,23,none,rent,1,unskilled,1,none,yes,good
341,0,48,existing paid,business,3914,none,4,4,male,single,none,2,real estate,38,bank,own,1,skilled,1,none,yes,bad
15,0,36,critical,accessory,6229,little,0,4,female,other,co applicant,4,no known property,23,none,rent,2,unskilled,1,yes,yes,bad
487,0,6,all paid,car,783,none,4,1,male,single,guarantor,2,real estate,26,stores,own,1,unskilled,2,none,yes,good
154,0,6,critical,car,609,little,7,4,female,other,none,3,life insurance,37,none,own,2,skilled,1,none,no,good
621,0,10,existing paid,car,1287,none,8,4,male,single,co applicant,2,life insurance,45,none,own,1,unskilled,1,none,no,good
151,0,6,critical,devices,1237,moderate,4,1,female,other,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good
868,0,12,existing paid,devices,2214,little,4,4,male,single,none,3,life insurance,24,none,own,1,unskilled,1,none,yes,good
861,0,21,existing paid,car,5248,none,4,1,male,single,none,3,car,26,none,own,1,skilled,1,none,yes,good
416,0,24,critical,devices,1851,little,7,4,male,widow,guarantor,2,car,33,none,own,2,skilled,1,yes,yes,good
588,0,12,existing paid,devices,2141,moderate,7,3,male,single,none,1,no known property,35,none,own,1,skilled,1,none,yes,good
103,100,24,existing paid,devices,3758,rich,unemployed,1,female,other,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,none,yes,good
561,100,48,no credits/all paid,business,3844,moderate,7,4,male,single,none,4,no known property,34,none,for free,1,unskilled,2,none,yes,bad
357,100,21,delayed previously,car,2353,little,4,1,male,single,none,4,life insurance,47,none,own,2,skilled,1,none,yes,good
826,0,60,existing paid,car,6527,none,4,4,male,single,none,4,no known property,34,none,for free,1,skilled,2,yes,yes,good
769,100,12,critical,car,3124,little,0,1,male,single,none,3,real estate,49,bank,own,2,unskilled,2,none,yes,good
777,0,24,delayed previously,business,3863,little,4,1,male,single,none,2,no known property,32,none,for free,1,skilled,1,none,yes,good
160,100,15,existing paid,car,2631,moderate,4,2,female,other,none,4,car,28,none,rent,2,skilled,1,yes,yes,bad
181,0,18,existing paid,accessory,2039,little,4,1,female,other,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,bad
812,0,21,existing paid,accessory,2241,little,8,4,male,single,none,2,real estate,50,none,own,2,skilled,1,none,yes,good
535,0,36,critical,accessory,5371,little,4,3,male,single,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,good
828,100,36,delayed previously,car,2862,moderate,8,4,male,single,none,3,no known property,30,none,for free,1,skilled,1,none,yes,good
310,0,12,existing paid,devices,3059,>=1000,7,2,male,single,none,4,real estate,61,none,own,1,unskilled,1,none,yes,good
793,0,18,all paid,accessory,1553,little,4,4,male,single,none,3,car,44,bank,own,1,skilled,1,none,yes,bad
888,100,9,existing paid,car,1549,none,0,4,male,single,none,2,real estate,35,none,own,1,unemp/unskilled non res,1,none,yes,good
831,100,24,existing paid,devices,2896,moderate,0,2,male,single,none,1,car,29,none,own,1,skilled,1,none,yes,good
827,300,10,critical,devices,1347,none,7,4,male,single,none,2,life insurance,27,none,own,2,skilled,1,yes,yes,good
238,0,6,existing paid,accessory,428,little,8,2,female,other,none,1,life insurance,49,bank,own,1,skilled,1,yes,yes,good
305,100,6,existing paid,devices,753,little,4,2,female,other,guarantor,3,real estate,64,none,own,1,skilled,1,none,yes,good
908,0,24,all paid,business,1559,little,7,4,male,single,none,4,car,50,bank,own,1,skilled,1,yes,yes,good
973,0,36,delayed previously,business,2145,little,7,2,male,single,none,1,car,24,none,own,2,skilled,1,yes,yes,bad
209,300,6,critical,education,1047,little,4,2,female,other,none,4,life insurance,50,none,own,1,unskilled,1,none,yes,good
926,0,24,critical,business,1382,moderate,7,4,male,single,none,1,real estate,26,none,own,2,skilled,1,yes,yes,good
295,100,48,no credits/all paid,car,8358,rich,0,1,female,other,none,1,car,30,none,own,2,skilled,1,none,yes,good
515,100,9,critical,accessory,1919,little,7,4,male,single,none,3,car,35,none,rent,1,skilled,1,yes,yes,good
767,100,9,existing paid,devices,1082,little,8,4,male,single,none,4,car,27,none,own,2,unskilled,1,none,yes,good
590,0,24,existing paid,devices,1823,little,unemployed,4,male,single,none,2,car,30,stores,own,1,high qualif,2,none,yes,bad
622,0,18,existing paid,accessory,2515,little,4,3,male,single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,good
729,0,10,existing paid,car,1309,none,4,4,male,single,guarantor,4,life insurance,27,none,own,1,unskilled,1,none,yes,bad
764,0,24,critical,devices,2578,>=1000,8,2,male,single,none,2,car,34,none,own,1,skilled,1,none,yes,good
58,100,9,critical,education,1501,little,8,2,female,other,none,3,car,34,none,own,2,high qualif,1,yes,yes,bad
77,0,24,existing paid,devices,1533,little,0,4,female,other,none,3,car,38,stores,own,1,skilled,1,yes,yes,good
205,0,12,existing paid,devices,1493,little,0,4,female,other,none,3,car,34,none,own,1,skilled,2,none,yes,good
696,0,36,critical,car,11054,none,4,4,male,single,none,2,car,30,none,own,1,high qualif,1,yes,yes,good
982,100,15,existing paid,others,1514,moderate,4,4,male,single,guarantor,2,real estate,22,none,own,1,skilled,1,none,yes,good
286,100,30,existing paid,devices,2991,none,8,2,female,other,none,4,car,25,none,own,1,skilled,1,none,yes,good
701,0,12,existing paid,car,3386,little,8,3,male,single,none,4,no known property,35,none,for free,1,skilled,1,yes,yes,bad
114,100,18,existing paid,car,12976,little,unemployed,3,female,other,none,4,no known property,38,none,for free,1,high qualif,1,yes,yes,bad
809,100,12,existing paid,car,888,little,8,4,male,single,none,4,car,41,bank,own,1,unskilled,2,none,yes,bad
116,0,18,critical,devices,2238,little,4,2,female,other,none,1,car,25,none,own,2,skilled,1,none,yes,good
798,100,15,existing paid,others,1308,little,8,4,male,single,none,4,car,38,none,own,2,unskilled,1,none,yes,good
249,0,18,existing paid,devices,3509,little,7,4,female,other,guarantor,1,real estate,25,none,own,1,skilled,1,none,yes,good
59,0,6,critical,devices,1382,little,4,1,female,other,none,1,car,28,none,own,2,skilled,1,yes,yes,good
413,0,48,existing paid,devices,6999,little,7,1,male,widow,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,bad
278,0,12,existing paid,education,795,little,0,4,female,other,none,4,life insurance,53,none,own,1,skilled,1,none,yes,bad
941,100,36,critical,car,5800,little,4,3,male,single,none,4,car,34,none,own,2,skilled,1,yes,yes,good
783,100,60,delayed previously,devices,9157,none,4,2,male,single,none,2,no known property,27,none,for free,1,high qualif,1,none,yes,good
693,100,20,delayed previously,other,2629,little,4,2,male,single,none,3,car,29,bank,own,2,skilled,1,yes,yes,good
39,100,48,existing paid,car,8487,none,7,1,female,other,none,2,car,24,none,own,1,skilled,1,none,yes,good
592,0,30,existing paid,devices,2522,little,8,1,male,single,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,good
647,0,18,critical,car,3229,none,unemployed,2,male,single,none,4,no known property,38,none,own,1,high qualif,1,yes,yes,good
149,0,24,existing paid,car,3757,little,8,4,female,other,co applicant,4,no known property,62,none,for free,1,skilled,1,yes,yes,good
317,100,36,delayed previously,business,4455,little,4,2,male,single,none,2,real estate,30,stores,own,2,high qualif,1,yes,yes,bad
708,0,48,delayed previously,devices,7238,none,8,3,male,single,none,3,car,32,bank,own,2,skilled,2,none,yes,good
226,0,27,existing paid,car,2570,little,4,3,female,other,none,3,real estate,21,none,rent,1,skilled,1,none,yes,bad
445,0,18,existing paid,accessory,1533,little,0,4,male,widow,co applicant,1,life insurance,43,none,own,1,unskilled,2,none,yes,bad
187,0,24,existing paid,car,1442,little,7,4,female,other,none,4,car,23,none,rent,2,skilled,1,none,yes,bad
234,100,24,existing paid,car,11560,little,4,1,female,other,none,4,car,23,none,rent,2,high qualif,1,none,yes,bad
235,100,30,no credits/all paid,business,4280,moderate,4,4,female,other,none,4,car,26,none,rent,2,unskilled,1,none,yes,bad
698,0,24,existing paid,car,2670,little,8,4,male,single,none,4,car,35,none,own,1,high qualif,1,yes,yes,good
373,300,6,existing paid,car,709,>=1000,0,2,male,widow,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,good
723,100,6,existing paid,devices,368,none,8,4,male,single,none,4,life insurance,38,none,own,1,skilled,1,none,yes,good
654,300,12,existing paid,devices,3399,none,8,2,male,single,none,3,car,37,none,own,1,high qualif,1,none,yes,good
110,0,10,critical,accessory,2146,little,0,1,female,other,none,3,real estate,23,none,rent,2,skilled,1,none,yes,good
425,0,15,critical,devices,1316,rich,4,2,male,widow,none,2,life insurance,47,none,own,2,unskilled,1,none,yes,good
197,0,24,all paid,car,3632,little,4,1,female,other,guarantor,4,car,22,bank,rent,1,skilled,1,none,no,good
233,100,36,all paid,domestic appliance,3990,none,0,3,female,other,none,2,no known property,29,bank,own,1,unemp/unskilled non res,1,none,yes,good
933,100,30,critical,car,2181,none,8,4,male,single,none,4,real estate,36,none,own,2,skilled,1,none,yes,good
808,0,14,existing paid,car,3973,little,unemployed,1,male,single,none,4,no known property,22,none,for free,1,skilled,1,none,yes,good
677,0,12,critical,business,2292,little,unemployed,4,male,single,none,2,car,42,stores,own,2,high qualif,1,yes,yes,bad
627,100,48,existing paid,other,5381,none,unemployed,3,male,single,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,yes,yes,good
399,300,12,critical,car,939,rich,7,4,male,widow,none,2,real estate,28,none,own,3,skilled,1,yes,yes,bad
870,100,12,critical,accessory,3617,little,8,1,male,single,none,4,car,28,none,rent,3,skilled,1,yes,yes,good
130,0,18,critical,others,1190,little,unemployed,2,female,other,none,4,no known property,55,none,for free,3,unemp/unskilled non res,2,none,yes,bad
854,0,6,critical,car,6761,little,7,1,male,single,none,3,no known property,45,none,own,2,high qualif,2,yes,yes,good
541,0,9,critical,others,1288,moderate,8,3,male,single,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,good
446,100,18,critical,business,3590,little,unemployed,3,male,widow,none,3,car,40,none,own,3,unemp/unskilled non res,2,yes,yes,good
882,0,48,critical,car,2751,none,8,4,male,single,none,3,car,38,none,own,2,skilled,2,yes,yes,good
754,0,48,critical,car,8858,none,7,2,male,single,none,1,no known property,35,none,for free,2,skilled,1,yes,yes,good
463,0,9,critical,car,2134,little,4,4,male,single,none,4,car,48,none,own,3,skilled,1,yes,yes,good
536,0,18,critical,devices,1582,>=1000,8,4,male,single,none,4,car,46,none,own,2,skilled,1,none,yes,good
495,0,8,critical,other,1164,little,8,3,male,single,none,4,no known property,51,bank,for free,2,high qualif,2,yes,yes,good
593,0,6,existing paid,devices,1595,little,7,3,male,single,none,2,life insurance,51,none,own,1,skilled,2,none,yes,good
665,300,12,existing paid,car,1330,little,0,4,male,single,none,1,real estate,26,none,own,1,skilled,1,none,yes,good
312,100,6,delayed previously,business,1449,moderate,8,1,male,single,none,2,car,31,bank,own,2,skilled,2,none,yes,good
747,0,48,existing paid,car,7763,little,8,4,male,single,none,4,no known property,42,bank,for free,1,high qualif,1,none,yes,bad
245,0,10,existing paid,car,2901,none,0,1,female,other,none,4,real estate,31,none,rent,1,skilled,1,none,yes,good
575,0,36,critical,devices,3342,none,8,4,male,single,none,2,car,51,none,own,1,skilled,1,yes,yes,good
950,0,24,all paid,business,3161,little,4,4,male,single,none,2,life insurance,31,none,rent,1,skilled,1,yes,yes,bad
157,0,24,existing paid,car,3488,moderate,7,3,female,other,none,4,car,23,none,own,1,skilled,1,none,yes,good
518,100,12,existing paid,car,6078,little,7,2,male,single,none,2,car,32,none,own,1,skilled,1,none,yes,good
358,300,42,no credits/all paid,business,6289,little,0,2,male,single,none,1,life insurance,33,none,own,2,skilled,1,none,yes,good
57,100,18,no credits/all paid,accessory,3244,little,4,1,female,other,none,4,car,33,bank,own,2,skilled,1,yes,yes,good
690,0,9,existing paid,accessory,2136,little,4,3,male,single,none,2,real estate,25,none,own,1,skilled,1,none,yes,good
135,0,9,critical,education,1244,none,8,4,female,other,none,4,life insurance,41,none,rent,2,unskilled,1,none,yes,good
644,100,13,critical,devices,882,little,0,4,male,single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,good
871,0,12,critical,devices,1655,little,8,2,male,single,none,4,real estate,63,none,own,2,unskilled,1,yes,yes,good
641,0,24,existing paid,accessory,4169,little,4,4,male,single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,good
999,100,45,critical,car,4576,moderate,unemployed,3,male,single,none,4,car,27,none,own,1,skilled,1,none,yes,good
966,0,12,existing paid,car,3527,none,0,2,male,single,none,3,life insurance,45,none,own,1,high qualif,2,yes,yes,good
255,100,18,critical,devices,1795,little,8,3,female,other,guarantor,4,real estate,48,bank,rent,2,unskilled,1,yes,yes,good
910,100,21,existing paid,accessory,3976,none,7,2,male,single,none,3,car,35,none,own,1,skilled,1,yes,yes,good
771,0,9,critical,car,2799,little,4,2,male,single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,good
213,0,6,existing paid,education,1538,little,0,1,female,other,none,2,no known property,56,none,own,1,skilled,1,none,yes,good
666,0,30,delayed previously,business,4272,moderate,4,2,male,single,none,2,life insurance,26,none,own,2,unskilled,1,none,yes,good
880,100,18,existing paid,business,1941,>=1000,4,4,male,single,none,2,life insurance,35,none,own,1,unskilled,1,yes,yes,good
224,0,12,existing paid,car,1228,little,4,4,female,other,none,2,real estate,24,none,own,1,unskilled,1,none,yes,bad
354,0,11,existing paid,business,2142,>=1000,8,1,male,single,none,2,real estate,28,none,own,1,skilled,1,yes,yes,good
642,100,18,existing paid,business,4439,little,8,1,male,single,co applicant,1,real estate,33,bank,own,1,high qualif,1,yes,yes,good
589,0,4,critical,devices,1544,little,7,2,male,single,none,1,real estate,42,none,own,3,unskilled,2,none,yes,good
461,0,30,no credits/all paid,business,8072,none,0,2,male,single,none,3,car,25,bank,own,3,skilled,1,none,yes,good
440,0,24,existing paid,car,1474,moderate,0,4,male,widow,none,3,real estate,33,none,own,1,skilled,1,yes,yes,good
756,100,12,critical,car,1995,moderate,0,4,male,single,none,1,car,27,none,own,1,skilled,1,none,yes,good
921,0,27,critical,accessory,4526,>=1000,0,4,male,single,none,2,real estate,32,stores,own,2,unskilled,2,yes,yes,good
597,0,6,no credits/all paid,car,1204,moderate,4,4,male,single,none,1,no known property,35,bank,rent,1,skilled,1,none,no,good
602,0,24,critical,devices,2684,little,4,4,male,single,none,2,real estate,35,none,own,2,unskilled,1,none,yes,good
253,0,9,existing paid,accessory,2301,moderate,0,2,female,other,none,4,life insurance,22,none,rent,1,skilled,1,none,yes,good
564,100,24,existing paid,car,2760,none,8,4,male,single,none,4,no known property,36,bank,for free,1,skilled,1,yes,yes,good
17,0,12,existing paid,devices,2171,little,0,2,female,other,none,2,car,29,bank,own,1,skilled,1,none,yes,good
123,100,24,existing paid,devices,1967,little,8,4,female,other,none,4,car,20,none,own,1,skilled,1,yes,yes,good
801,300,24,existing paid,car,947,little,7,4,male,single,none,3,no known property,38,bank,for free,1,skilled,2,none,yes,bad
336,0,36,existing paid,devices,2302,little,4,4,male,single,none,4,car,31,none,rent,1,skilled,1,none,yes,bad
74,0,11,critical,devices,1154,moderate,unemployed,4,female,other,none,4,real estate,57,none,own,3,unskilled,1,none,yes,good
344,300,24,critical,business,1275,>=1000,4,2,male,single,none,4,real estate,36,none,own,2,skilled,1,yes,yes,good
574,300,30,delayed previously,business,1908,little,8,4,male,single,none,4,real estate,66,none,own,1,high qualif,1,yes,yes,bad
744,0,6,existing paid,car,662,little,0,3,male,single,none,4,real estate,41,none,own,1,unskilled,2,yes,yes,good
48,0,12,existing paid,accessory,1282,little,4,2,female,other,none,4,car,20,none,rent,1,skilled,1,none,yes,bad
366,100,12,existing paid,car,1007,>=1000,4,4,male,widow,none,1,real estate,22,none,own,1,skilled,1,none,yes,good
201,0,24,existing paid,devices,3660,little,4,2,female,other,none,4,car,28,none,own,1,skilled,1,none,yes,good
914,0,24,critical,car,4042,none,7,3,male,single,none,4,life insurance,43,none,own,2,skilled,1,yes,yes,good
934,100,24,critical,business,2825,none,7,4,male,single,none,3,no known property,34,none,own,2,skilled,2,yes,yes,good
924,0,36,existing paid,business,7409,none,8,3,male,single,none,2,life insurance,37,none,own,2,skilled,1,none,yes,good
672,0,24,delayed previously,business,8648,little,0,2,male,single,none,2,car,27,bank,own,2,skilled,1,yes,yes,bad
475,300,18,existing paid,devices,2100,little,4,4,male,single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,bad
832,0,6,critical,car,4716,none,0,1,male,single,none,3,real estate,44,none,own,2,unskilled,2,none,yes,good
144,0,6,existing paid,education,448,little,0,4,female,other,none,4,life insurance,23,none,own,1,skilled,1,none,yes,bad
484,0,12,existing paid,devices,1262,little,4,3,male,single,none,2,car,25,none,own,1,skilled,1,none,yes,good
55,0,30,all paid,car,7485,none,unemployed,4,female,other,none,1,real estate,53,bank,own,1,high qualif,1,yes,yes,bad
725,100,36,existing paid,accessory,9034,moderate,0,4,male,single,co applicant,1,no known property,29,none,rent,1,high qualif,1,yes,yes,bad
856,100,10,all paid,devices,1048,little,4,4,male,single,none,4,real estate,23,stores,own,1,unskilled,1,none,yes,good
595,0,24,existing paid,business,1258,little,7,4,male,single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,good
250,100,18,existing paid,others,3872,little,unemployed,2,female,other,none,4,car,67,none,own,1,skilled,1,yes,yes,good
559,100,16,critical,car,1175,little,unemployed,2,male,single,none,3,car,68,none,for free,3,unemp/unskilled non res,1,yes,yes,good
755,0,6,all paid,devices,1750,rich,8,2,male,single,none,4,life insurance,45,bank,own,1,unskilled,2,none,yes,good
867,0,12,critical,car,691,little,8,4,male,single,none,3,life insurance,35,none,own,2,skilled,1,none,yes,bad
556,0,24,critical,accessory,3777,>=1000,4,4,male,single,none,4,real estate,50,none,own,1,skilled,1,yes,yes,good
14,300,18,existing paid,car,1961,little,8,3,female,other,none,2,car,23,none,own,1,high qualif,1,none,yes,good
186,100,6,all paid,car,931,moderate,0,1,female,other,none,1,life insurance,32,stores,own,1,unskilled,1,none,yes,bad
521,0,12,existing paid,accessory,1768,little,4,3,male,single,none,2,real estate,24,none,rent,1,unskilled,1,none,yes,good
221,100,9,existing paid,devices,1206,little,8,4,female,other,none,4,real estate,25,none,own,1,skilled,1,none,yes,good
271,0,15,existing paid,accessory,2221,rich,4,2,female,other,none,4,car,20,none,rent,1,skilled,1,none,yes,good
571,0,12,existing paid,car,1413,>=1000,7,3,male,single,none,2,life insurance,55,none,own,1,skilled,1,none,no,good
351,0,24,existing paid,car,9277,none,4,2,male,single,none,4,no known property,48,none,for free,1,skilled,1,yes,yes,good
242,0,24,existing paid,car,1285,none,7,4,female,other,none,4,no known property,32,none,rent,1,skilled,1,none,yes,bad
401,100,12,existing paid,devices,1484,none,4,2,male,widow,none,1,real estate,25,none,own,1,skilled,1,yes,yes,bad
240,100,12,existing paid,business,841,moderate,7,2,female,other,none,4,real estate,23,none,rent,1,unskilled,1,none,yes,good
369,0,12,existing paid,car,2445,none,0,2,male,widow,none,4,car,26,none,rent,1,skilled,1,yes,yes,good
189,100,9,existing paid,accessory,918,little,4,4,female,other,none,1,life insurance,30,none,own,1,skilled,1,none,yes,bad
175,0,15,existing paid,business,806,little,4,4,female,other,none,4,life insurance,22,none,own,1,unskilled,1,none,yes,good
916,0,18,all paid,car,1442,little,7,4,male,single,none,4,no known property,32,none,for free,2,unskilled,2,none,yes,bad
211,0,30,critical,devices,4530,little,7,4,female,other,none,4,car,26,none,rent,1,high qualif,1,yes,yes,good
789,300,6,existing paid,accessory,2116,little,4,2,male,single,none,2,real estate,41,none,own,1,skilled,1,yes,yes,good
64,0,12,existing paid,education,1200,none,4,4,female,other,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,good
169,0,21,no credits/all paid,car,5003,none,4,1,female,other,none,4,life insurance,29,bank,own,2,skilled,1,yes,yes,bad
347,300,24,existing paid,accessory,2892,little,8,3,male,single,none,4,no known property,51,none,for free,1,skilled,1,none,yes,good
657,0,18,critical,car,3850,little,7,3,male,single,none,1,car,27,none,own,2,skilled,1,none,yes,good
849,300,24,critical,devices,3148,none,4,3,male,single,none,2,car,31,none,own,2,skilled,1,yes,yes,good
977,100,24,existing paid,accessory,3069,moderate,8,4,male,single,none,4,no known property,30,none,for free,1,skilled,1,none,yes,good
328,0,24,existing paid,devices,1938,little,0,4,male,single,none,3,life insurance,32,none,own,1,skilled,1,none,yes,bad
